#,Waktu Gempa,Lintang - Bujur,Magnitudo,Kedalaman,Dirasakan (Skala MMI)
1,05/03/2023,2.53 LS 140.67 BT,3,10 Km,"
"
1,05/03/2023,2.53 LS 140.67 BT,3,10 Km,"
"
1,05/03/2023,2.53 LS 140.67 BT,3,10 Km,"
"
1,05/03/2023,2.53 LS 140.67 BT,3,10 Km,"
"
1,05/03/2023,2.53 LS 140.67 BT,3,10 Km,"
"
1,05/03/2023,2.53 LS 140.67 BT,3,10 Km,"
"
2,05/03/2023,2.67 LS 121.98 BT,4.8,5 Km,"
"
2,05/03/2023,2.67 LS 121.98 BT,4.8,5 Km,"
"
2,05/03/2023,2.67 LS 121.98 BT,4.8,5 Km,"
"
2,05/03/2023,2.67 LS 121.98 BT,4.8,5 Km,"
"
2,05/03/2023,2.67 LS 121.98 BT,4.8,5 Km,"
"
2,05/03/2023,2.67 LS 121.98 BT,4.8,5 Km,"
"
3,04/03/2023,2.49 LS 140.73 BT,2.7,7 Km,"
"
3,04/03/2023,2.49 LS 140.73 BT,2.7,7 Km,"
"
3,04/03/2023,2.49 LS 140.73 BT,2.7,7 Km,"
"
3,04/03/2023,2.49 LS 140.73 BT,2.7,7 Km,"
"
3,04/03/2023,2.49 LS 140.73 BT,2.7,7 Km,"
"
3,04/03/2023,2.49 LS 140.73 BT,2.7,7 Km,"
"
4,03/03/2023,0.42 LS 123.01 BT,4.9,52 Km,"
"
4,03/03/2023,0.42 LS 123.01 BT,4.9,52 Km,"
"
4,03/03/2023,0.42 LS 123.01 BT,4.9,52 Km,"
"
4,03/03/2023,0.42 LS 123.01 BT,4.9,52 Km,"
"
4,03/03/2023,0.42 LS 123.01 BT,4.9,52 Km,"
"
4,03/03/2023,0.42 LS 123.01 BT,4.9,52 Km,"
"
5,03/03/2023,7.69 LS 106.52 BT,3.8,27 Km,"
"
5,03/03/2023,7.69 LS 106.52 BT,3.8,27 Km,"
"
5,03/03/2023,7.69 LS 106.52 BT,3.8,27 Km,"
"
5,03/03/2023,7.69 LS 106.52 BT,3.8,27 Km,"
"
5,03/03/2023,7.69 LS 106.52 BT,3.8,27 Km,"
"
5,03/03/2023,7.69 LS 106.52 BT,3.8,27 Km,"
"
