Waktu Gempa,Lintang - Bujur,Magnitudo,Kedalaman,Dirasakan (Skala MMI)
07/03/2023,6.47 LS 103.9 BT,5.3,10 Km,Pusat gempa berada dilaut 140 Km BaratDaya Tanggamus
07/03/2023,0.11 LS 120.32 BT,4.6,5 Km,Pusat gempa berada di laut 30 km Tenggara Parigi Moutong
06/03/2023,2.46 LS 140.72 BT,2.7,10 Km,Pusat gempa berada di laut 8 km timur laut Kota Jayapura
06/03/2023,0.15 LS 123.14 BT,4.5,132 Km,Pusat gempa berada di laut 76 km Tenggara Bonebolango
05/03/2023,2.7 LS 140.01 BT,4.4,50 Km,Pusat gempa berada di darat 46 km BaratDaya Kab.Jayapura
05/03/2023,2.53 LS 140.67 BT,3,10 Km,Pusat gempa berada di darat 5 km barat laut Kota Jayapura
05/03/2023,2.67 LS 121.98 BT,4.8,5 Km,Pusat gempa berada di darat 3 km barat Kab. Morowali
04/03/2023,2.49 LS 140.73 BT,2.7,7 Km,Pusat gempa berada di laut 5 km TimurLaut Kota Jayapura
03/03/2023,0.42 LS 123.01 BT,4.9,52 Km,Pusat gempa berada di laut 64 km utara Luwuk
03/03/2023,7.69 LS 106.52 BT,3.8,27 Km,Pusat gempa berada di Laut 78 Km Barat Daya Kabupaten Sukabumi
03/03/2023,3.8 LS 101.83 BT,5.1,12 Km,Pusat gempa berada di laut 47 Km Barat Daya Bengkulu
03/03/2023,2.48 LS 140.71 BT,2.6,10 Km,Pusat gempa berada di laut 6 km barat laut Kota Jayapura
02/03/2023,1.27 LU 120.2 BT,4.8,8 Km,Pusat gempa berada di laut 35 km utara Ogotua Kab. Tolitoli
02/03/2023,2.42 LU 128.39 BT,4.8,50 Km,Pusat gempa berada di darat 42 km TimurLaut Daruba
02/03/2023,1.65 LS 100.71 BT,5.6,82 Km,Pusat gempa berada di darat 36 km Tenggara Pesisir Selatan
01/03/2023,2.91 LS 119.37 BT,1.6,3 Km,Pusat gempa berada di darat 5 km TimurLaut Mamasa
01/03/2023,2.94 LS 119.36 BT,2.3,8 Km,Pusat gempa berada di darat 4 km tenggara Mamasa
01/03/2023,2.47 LS 140.67 BT,3.5,10 Km,Pusat gempa berada di laut 9 km BaratLaut Kota Jayapura
28/02/2023,1.37 LU 125.83 BT,4.9,55 Km,Pusat gempa berada di laut 79 km Tenggara Bitung
28/02/2023,7.03 LS 106.64 BT,4,3 Km,Pusat gempa berada di darat 11 km Tenggara Kab-Sukabumi
